order,type,orderNumber
Cantina Pinot Bianco,Wine,441
Baked Beans,Side,444
Duck,Meat,444
Duckhorn Chardonnay,Wine,444
Baked Beans,Side,445
Filet Mignon,Meat,445
Blackstone Merlot,Wine,445
Baked Beans,Side,456
Pork Tenderloin,Meat,456
Duckhorn Chardonnay,Wine,456
Baked Beans,Side,457
Roast Chicken,Meat,457
Duckhorn Chardonnay,Wine,457
Baked Beans,Side,469
Filet Mignon,Meat,469
Blackstone Merlot,Wine,469
Baked Beans,Side,477
Pork Tenderloin,Meat,477
Cantina Pinot Bianco,Wine,477
Baked Beans,Side,479
Pork Tenderloin,Meat,479
Cantina Pinot Bianco,Wine,479
Baked Beans,Side,502
Pork Tenderloin,Meat,502
Cantina Pinot Bianco,Wine,502
Baked Beans,Side,508
Roast Chicken,Meat,508
Duckhorn Chardonnay,Wine,508
Risotto,Side,512
Pork Tenderloin,Meat,512
Cantina Pinot Bianco,Wine,512
Risotto,Side,517
Roast Chicken,Meat,517
Duckhorn Chardonnay,Wine,517
Risotto,Side,524
Pork Tenderloin,Meat,524
Cantina Pinot Bianco,Wine,524
Risotto,Side,535
Roast Chicken,Meat,535
Cantina Pinot Bianco,Wine,535
Risotto,Side,536
Duck,Meat,536
Duckhorn Chardonnay,Wine,536
Risotto,Side,536
Pork Tenderloin,Meat,536
Cantina Pinot Bianco,Wine,536
Risotto,Side,565
Pork Tenderloin,Meat,565
Cantina Pinot Bianco,Wine,565
Risotto,Side,566
Filet Mignon,Meat,566
Blackstone Merlot,Wine,566
Risotto,Side,605
Filet Mignon,Meat,605
Blackstone Merlot,Wine,605
Steamed Seasonal Veg,Side,610
Roast Chicken,Meat,610
Duckhorn Chardonnay,Wine,610
Steamed Seasonal Veg,Side,617
Pork Tenderloin,Meat,617
Cantina Pinot Bianco,Wine,617
Steamed Seasonal Veg,Side,619
Pork Tenderloin,Meat,619
Cantina Pinot Bianco,Wine,619
Steamed Seasonal Veg,Side,626
Pork Tenderloin,Meat,626
Cantina Pinot Bianco,Wine,626
Steamed Seasonal Veg,Side,628
Pork Tenderloin,Meat,628
Cantina Pinot Bianco,Wine,628
Steamed Seasonal Veg,Side,633
Roast Chicken,Meat,633
Blackstone Merlot,Wine,633
Steamed Seasonal Veg,Side,639
Pork Tenderloin,Meat,639
Cantina Pinot Bianco,Wine,639
Steamed Seasonal Veg,Side,677
Duck,Meat,677
Duckhorn Chardonnay,Wine,677
Steamed Seasonal Veg,Side,708
Pork Tenderloin,Meat,708
Cantina Pinot Bianco,Wine,708
Steamed Seasonal Veg,Side,718
Pork Tenderloin,Meat,718
Cantina Pinot Bianco,Wine,718
Steamed Seasonal Veg,Side,721
Duck,Meat,721
Duckhorn Chardonnay,Wine,721
Steamed Seasonal Veg,Side,723
Pork Tenderloin,Meat,723
Cantina Pinot Bianco,Wine,723
Steamed Seasonal Veg,Side,724
Pork Tenderloin,Meat,724
Cantina Pinot Bianco,Wine,724
Steamed Seasonal Veg,Side,749
Roast Chicken,Meat,749
Duckhorn Chardonnay,Wine,749
Steamed Seasonal Veg,Side,805
Pork Tenderloin,Meat,805
Cantina Pinot Bianco,Wine,805
Mashed Potatoes,Side,819
Roast Chicken,Meat,819
Duckhorn Chardonnay,Wine,819
Mashed Potatoes,Side,819
Pork Tenderloin,Meat,819
Cantina Pinot Bianco,Wine,819
Mashed Potatoes,Side,836
Pork Tenderloin,Meat,836
Cantina Pinot Bianco,Wine,836
Mashed Potatoes,Side,836
Pork Tenderloin,Meat,836
Cantina Pinot Bianco,Wine,836
Mashed Potatoes,Side,843
Pork Tenderloin,Meat,843
Cantina Pinot Bianco,Wine,843
Mashed Potatoes,Side,853
Pork Tenderloin,Meat,853
Cantina Pinot Bianco,Wine,853
Mashed Potatoes,Side,857
Pork Tenderloin,Meat,857
Cantina Pinot Bianco,Wine,857
Mashed Potatoes,Side,861
Duck,Meat,861
Duckhorn Chardonnay,Wine,861
Mashed Potatoes,Side,863
Filet Mignon,Meat,863
Blackstone Merlot,Wine,863
Mashed Potatoes,Side,863
Duck,Meat,863
Duckhorn Chardonnay,Wine,863
Mashed Potatoes,Side,874
Duck,Meat,874
Duckhorn Chardonnay,Wine,874
Mashed Potatoes,Side,875
Roast Chicken,Meat,875
Duckhorn Chardonnay,Wine,875
Mashed Potatoes,Side,899
Pork Tenderloin,Meat,899
Cantina Pinot Bianco,Wine,899
Mashed Potatoes,Side,907
Pork Tenderloin,Meat,907
Cantina Pinot Bianco,Wine,907
Caesar Salad,Side,963
Roast Chicken,Meat,963
Duckhorn Chardonnay,Wine,963
Caesar Salad,Side,974
Pork Tenderloin,Meat,974
Cantina Pinot Bianco,Wine,974
Caesar Salad,Side,975
Roast Chicken,Meat,975
Duckhorn Chardonnay,Wine,975
Caesar Salad,Side,977
Pork Tenderloin,Meat,977
Cantina Pinot Bianco,Wine,977
Caesar Salad,Side,996
Pork Tenderloin,Meat,996
Cantina Pinot Bianco,Wine,996
Caesar Salad,Side,999
Pork Tenderloin,Meat,999
Cantina Pinot Bianco,Wine,999
Caesar Salad,Side,1010
Pork Tenderloin,Meat,1010
Cantina Pinot Bianco,Wine,1010
Caesar Salad,Side,1012
Duck,Meat,1012
Duckhorn Chardonnay,Wine,1012
Roasted Root Veg,Side,1021
Roast Chicken,Meat,1021
Duckhorn Chardonnay,Wine,1021
Roasted Root Veg,Side,1026
Filet Mignon,Meat,1026
Blackstone Merlot,Wine,1026
Roasted Root Veg,Side,1026
Pork Tenderloin,Meat,1026
Blackstone Merlot,Wine,1026
Roasted Root Veg,Side,1028
Pork Tenderloin,Meat,1028
Cantina Pinot Bianco,Wine,1028
Roasted Root Veg,Side,1045
Pork Tenderloin,Meat,1045
Cantina Pinot Bianco,Wine,1045
Roasted Root Veg,Side,1052
Filet Mignon,Meat,1052
Blackstone Merlot,Wine,1052
Roasted Root Veg,Side,1097
Roast Chicken,Meat,1097
Duckhorn Chardonnay,Wine,1097
Roasted Root Veg,Side,1100
Duck,Meat,1100
Duckhorn Chardonnay,Wine,1100
Roasted Root Veg,Side,1105
Pork Tenderloin,Meat,1105
Meiomi Pinot Noir,Wine,1105
Roasted Root Veg,Side,1125
Roast Chicken,Meat,1125
Duckhorn Chardonnay,Wine,1125
Roasted Root Veg,Side,1129
Duck,Meat,1129
Blackstone Merlot,Wine,1129
Roasted Root Veg,Side,1170
Filet Mignon,Meat,1170
Blackstone Merlot,Wine,1170
Roasted Root Veg,Side,1201
Pork Tenderloin,Meat,1201
Cantina Pinot Bianco,Wine,1201
Baked Beans,Side,1222
Pork Tenderloin,Meat,1222
Cantina Pinot Bianco,Wine,1222
Baked Beans,Side,1232
Pork Tenderloin,Meat,1232
Cantina Pinot Bianco,Wine,1232
Baked Beans,Side,1241
Duck,Meat,1241
Duckhorn Chardonnay,Wine,1241
Baked Beans,Side,1251
Pork Tenderloin,Meat,1251
Cantina Pinot Bianco,Wine,1251
Baked Beans,Side,1265
Filet Mignon,Meat,1265
Blackstone Merlot,Wine,1265
Baked Beans,Side,1302
Filet Mignon,Meat,1302
Meiomi Pinot Noir,Wine,1302
Baked Beans,Side,1307
Roast Chicken,Meat,1307
Blackstone Merlot,Wine,1307
Baked Beans,Side,1311
Pork Tenderloin,Meat,1311
Cantina Pinot Bianco,Wine,1311
Baked Beans,Side,1315
Pork Tenderloin,Meat,1315
Cantina Pinot Bianco,Wine,1315
Risotto,Side,1327
Pork Tenderloin,Meat,1327
Cantina Pinot Bianco,Wine,1327
Risotto,Side,1335
Pork Tenderloin,Meat,1335
Cantina Pinot Bianco,Wine,1335
Risotto,Side,1353
Roast Chicken,Meat,1353
Duckhorn Chardonnay,Wine,1353
Risotto,Side,1354
Pork Tenderloin,Meat,1354
Cantina Pinot Bianco,Wine,1354
Risotto,Side,1370
Pork Tenderloin,Meat,1370
Cantina Pinot Bianco,Wine,1370
Risotto,Side,1371
Duck,Meat,1371
Duckhorn Chardonnay,Wine,1371
Risotto,Side,1383
Pork Tenderloin,Meat,1383
Cantina Pinot Bianco,Wine,1383
Risotto,Side,1385
Pork Tenderloin,Meat,1385
Cantina Pinot Bianco,Wine,1385
Risotto,Side,1386
Roast Chicken,Meat,1386
Meiomi Pinot Noir,Wine,1386
Risotto,Side,1392
Pork Tenderloin,Meat,1392
Cantina Pinot Bianco,Wine,1392
Risotto,Side,1394
Pork Tenderloin,Meat,1394
Cantina Pinot Bianco,Wine,1394
Risotto,Side,1400
Filet Mignon,Meat,1400
Blackstone Merlot,Wine,1400
Risotto,Side,1416
Pork Tenderloin,Meat,1416
Duckhorn Chardonnay,Wine,1416
Steamed Seasonal Veg,Side,1434
Roast Chicken,Meat,1434
Duckhorn Chardonnay,Wine,1434
Steamed Seasonal Veg,Side,1438
Pork Tenderloin,Meat,1438
Cantina Pinot Bianco,Wine,1438
Steamed Seasonal Veg,Side,1448
Filet Mignon,Meat,1448
Blackstone Merlot,Wine,1448
Steamed Seasonal Veg,Side,1474
Roast Chicken,Meat,1474
Duckhorn Chardonnay,Wine,1474
Steamed Seasonal Veg,Side,1477
Pork Tenderloin,Meat,1477
Cantina Pinot Bianco,Wine,1477
Steamed Seasonal Veg,Side,1482
Pork Tenderloin,Meat,1482
Cantina Pinot Bianco,Wine,1482
Steamed Seasonal Veg,Side,1485
Pork Tenderloin,Meat,1485
Cantina Pinot Bianco,Wine,1485
Steamed Seasonal Veg,Side,1485
Filet Mignon,Meat,1485
Meiomi Pinot Noir,Wine,1485
Steamed Seasonal Veg,Side,1503
Pork Tenderloin,Meat,1503
Cantina Pinot Bianco,Wine,1503
Steamed Seasonal Veg,Side,1519
Pork Tenderloin,Meat,1519
Blackstone Merlot,Wine,1519
Steamed Seasonal Veg,Side,1536
Pork Tenderloin,Meat,1536
Cantina Pinot Bianco,Wine,1536
Steamed Seasonal Veg,Side,1550
Pork Tenderloin,Meat,1550
Cantina Pinot Bianco,Wine,1550
Steamed Seasonal Veg,Side,1555
Pork Tenderloin,Meat,1555
Cantina Pinot Bianco,Wine,1555
Steamed Seasonal Veg,Side,1573
Pork Tenderloin,Meat,1573
Cantina Pinot Bianco,Wine,1573
Steamed Seasonal Veg,Side,1579
Pork Tenderloin,Meat,1579
Cantina Pinot Bianco,Wine,1579
Steamed Seasonal Veg,Side,1584
Pork Tenderloin,Meat,1584
Cantina Pinot Bianco,Wine,1584
Steamed Seasonal Veg,Side,1588
Pork Tenderloin,Meat,1588
Blackstone Merlot,Wine,1588
Steamed Seasonal Veg,Side,1591
Roast Chicken,Meat,1591
Duckhorn Chardonnay,Wine,1591
Steamed Seasonal Veg,Side,1595
Pork Tenderloin,Meat,1595
Cantina Pinot Bianco,Wine,1595
Mashed Potatoes,Side,1627
Roast Chicken,Meat,1627
Meiomi Pinot Noir,Wine,1627
Mashed Potatoes,Side,1660
Pork Tenderloin,Meat,1660
Cantina Pinot Bianco,Wine,1660
Mashed Potatoes,Side,1704
Pork Tenderloin,Meat,1704
Cantina Pinot Bianco,Wine,1704
Mashed Potatoes,Side,1719
Duck,Meat,1719
Cantina Pinot Bianco,Wine,1719
Mashed Potatoes,Side,1725
Pork Tenderloin,Meat,1725
Cantina Pinot Bianco,Wine,1725
Caesar Salad,Side,1729
Pork Tenderloin,Meat,1729
Cantina Pinot Bianco,Wine,1729
Caesar Salad,Side,1730
Roast Chicken,Meat,1730
Duckhorn Chardonnay,Wine,1730
Caesar Salad,Side,1747
Roast Chicken,Meat,1747
Duckhorn Chardonnay,Wine,1747
Caesar Salad,Side,1751
Roast Chicken,Meat,1751
Duckhorn Chardonnay,Wine,1751
Caesar Salad,Side,1769
Pork Tenderloin,Meat,1769
Cantina Pinot Bianco,Wine,1769
Caesar Salad,Side,1771
Pork Tenderloin,Meat,1771
Cantina Pinot Bianco,Wine,1771
Caesar Salad,Side,1773
Duck,Meat,1773
Duckhorn Chardonnay,Wine,1773
Caesar Salad,Side,1787
Filet Mignon,Meat,1787
Blackstone Merlot,Wine,1787
Caesar Salad,Side,1798
Pork Tenderloin,Meat,1798
Cantina Pinot Bianco,Wine,1798
Caesar Salad,Side,1814
Roast Chicken,Meat,1814
Duckhorn Chardonnay,Wine,1814
Roasted Root Veg,Side,1831
Pork Tenderloin,Meat,1831
Cantina Pinot Bianco,Wine,1831
Roasted Root Veg,Side,1833
Pork Tenderloin,Meat,1833
Cantina Pinot Bianco,Wine,1833
Roasted Root Veg,Side,1834
Duck,Meat,1834
Duckhorn Chardonnay,Wine,1834
Roasted Root Veg,Side,1835
Duck,Meat,1835
Duckhorn Chardonnay,Wine,1835
Roasted Root Veg,Side,1836
Pork Tenderloin,Meat,1836
Cantina Pinot Bianco,Wine,1836
Roasted Root Veg,Side,1839
Duck,Meat,1839
Duckhorn Chardonnay,Wine,1839
Roasted Root Veg,Side,1849
Pork Tenderloin,Meat,1849
Cantina Pinot Bianco,Wine,1849
Roasted Root Veg,Side,1858
Pork Tenderloin,Meat,1858
Cantina Pinot Bianco,Wine,1858
Roasted Root Veg,Side,1867
Filet Mignon,Meat,1867
Blackstone Merlot,Wine,1867
Roasted Root Veg,Side,1876
Filet Mignon,Meat,1876
Blackstone Merlot,Wine,1876
Roasted Root Veg,Side,1928
Duck,Meat,1928
Duckhorn Chardonnay,Wine,1928
Roasted Root Veg,Side,1942
Filet Mignon,Meat,1942
Blackstone Merlot,Wine,1942
Roasted Root Veg,Side,1949
Pork Tenderloin,Meat,1949
Cantina Pinot Bianco,Wine,1949
Roasted Root Veg,Side,1960
Pork Tenderloin,Meat,1960
Cantina Pinot Bianco,Wine,1960
Roasted Root Veg,Side,1974
Pork Tenderloin,Meat,1974
Cantina Pinot Bianco,Wine,1974
Roasted Root Veg,Side,2001
Pork Tenderloin,Meat,2001
Cantina Pinot Bianco,Wine,2001
Roasted Root Veg,Side,2009
Roast Chicken,Meat,2009
Meiomi Pinot Noir,Wine,2009
Roasted Root Veg,Side,2014
Roast Chicken,Meat,2014
Duckhorn Chardonnay,Wine,2014
Roasted Root Veg,Side,2015
Pork Tenderloin,Meat,2015
Cantina Pinot Bianco,Wine,2015
Roasted Root Veg,Side,2017
Pork Tenderloin,Meat,2017
Cantina Pinot Bianco,Wine,2017
Roasted Root Veg,Side,2029
Pork Tenderloin,Meat,2029
Cantina Pinot Bianco,Wine,2029
Baked Beans,Side,2041
Filet Mignon,Meat,2041
Blackstone Merlot,Wine,2041
Baked Beans,Side,2054
Roast Chicken,Meat,2054
Duckhorn Chardonnay,Wine,2054
Baked Beans,Side,2057
Pork Tenderloin,Meat,2057
Cantina Pinot Bianco,Wine,2057
Baked Beans,Side,2081
Pork Tenderloin,Meat,2081
Cantina Pinot Bianco,Wine,2081
Baked Beans,Side,2093
Pork Tenderloin,Meat,2093
Cantina Pinot Bianco,Wine,2093
Baked Beans,Side,2098
Pork Tenderloin,Meat,2098
Cantina Pinot Bianco,Wine,2098
Risotto,Side,2142
Duck,Meat,2142
Duckhorn Chardonnay,Wine,2142
Risotto,Side,2152
Roast Chicken,Meat,2152
Duckhorn Chardonnay,Wine,2152
Risotto,Side,2179
Pork Tenderloin,Meat,2179
Cantina Pinot Bianco,Wine,2179
Risotto,Side,2188
Duck,Meat,2188
Duckhorn Chardonnay,Wine,2188
Risotto,Side,2196
Pork Tenderloin,Meat,2196
Cantina Pinot Bianco,Wine,2196
Risotto,Side,2202
Filet Mignon,Meat,2202
Blackstone Merlot,Wine,2202
Risotto,Side,2203
Pork Tenderloin,Meat,2203
Cantina Pinot Bianco,Wine,2203
Risotto,Side,2209
Pork Tenderloin,Meat,2209
Cantina Pinot Bianco,Wine,2209
Risotto,Side,2211
Pork Tenderloin,Meat,2211
Cantina Pinot Bianco,Wine,2211
Risotto,Side,2220
Pork Tenderloin,Meat,2220
Blackstone Merlot,Wine,2220
Risotto,Side,2224
Pork Tenderloin,Meat,2224
Cantina Pinot Bianco,Wine,2224
Steamed Seasonal Veg,Side,2256
Pork Tenderloin,Meat,2256
Cantina Pinot Bianco,Wine,2256
Steamed Seasonal Veg,Side,2259
Filet Mignon,Meat,2259
Blackstone Merlot,Wine,2259
Steamed Seasonal Veg,Side,2271
Roast Chicken,Meat,2271
Duckhorn Chardonnay,Wine,2271
Steamed Seasonal Veg,Side,2274
Pork Tenderloin,Meat,2274
Cantina Pinot Bianco,Wine,2274
Steamed Seasonal Veg,Side,2281
Pork Tenderloin,Meat,2281
Cantina Pinot Bianco,Wine,2281
Steamed Seasonal Veg,Side,2285
Pork Tenderloin,Meat,2285
Cantina Pinot Bianco,Wine,2285
Steamed Seasonal Veg,Side,2321
Duck,Meat,2321
Blackstone Merlot,Wine,2321
Steamed Seasonal Veg,Side,2331
Filet Mignon,Meat,2331
Blackstone Merlot,Wine,2331
Steamed Seasonal Veg,Side,2332
Pork Tenderloin,Meat,2332
Cantina Pinot Bianco,Wine,2332
Steamed Seasonal Veg,Side,2337
Pork Tenderloin,Meat,2337
Cantina Pinot Bianco,Wine,2337
Steamed Seasonal Veg,Side,2338
Duck,Meat,2338
Duckhorn Chardonnay,Wine,2338
Steamed Seasonal Veg,Side,2340
Duck,Meat,2340
Duckhorn Chardonnay,Wine,2340
Steamed Seasonal Veg,Side,2365
Pork Tenderloin,Meat,2365
Cantina Pinot Bianco,Wine,2365
Steamed Seasonal Veg,Side,2367
Duck,Meat,2367
Duckhorn Chardonnay,Wine,2367
Steamed Seasonal Veg,Side,2410
Pork Tenderloin,Meat,2410
Cantina Pinot Bianco,Wine,2410
Mashed Potatoes,Side,2442
Filet Mignon,Meat,2442
Blackstone Merlot,Wine,2442
Mashed Potatoes,Side,2447
Pork Tenderloin,Meat,2447
Cantina Pinot Bianco,Wine,2447
Mashed Potatoes,Side,2449
Duck,Meat,2449
Cantina Pinot Bianco,Wine,2449
Mashed Potatoes,Side,2465
Roast Chicken,Meat,2465
Cantina Pinot Bianco,Wine,2465
Mashed Potatoes,Side,2469
Filet Mignon,Meat,2469
Meiomi Pinot Noir,Wine,2469
Mashed Potatoes,Side,2492
Duck,Meat,2492
Blackstone Merlot,Wine,2492
Mashed Potatoes,Side,2496
Pork Tenderloin,Meat,2496
Cantina Pinot Bianco,Wine,2496
Mashed Potatoes,Side,2501
Pork Tenderloin,Meat,2501
Duckhorn Chardonnay,Wine,2501
Mashed Potatoes,Side,2510
Duck,Meat,2510
Duckhorn Chardonnay,Wine,2510
Mashed Potatoes,Side,2517
Pork Tenderloin,Meat,2517
Cantina Pinot Bianco,Wine,2517
Mashed Potatoes,Side,2524
Pork Tenderloin,Meat,2524
Cantina Pinot Bianco,Wine,2524
Mashed Potatoes,Side,2532
Pork Tenderloin,Meat,2532
Cantina Pinot Bianco,Wine,2532
Caesar Salad,Side,2543
Roast Chicken,Meat,2543
Duckhorn Chardonnay,Wine,2543
Caesar Salad,Side,2543
Duck,Meat,2543
Duckhorn Chardonnay,Wine,2543
Caesar Salad,Side,2596
Pork Tenderloin,Meat,2596
Cantina Pinot Bianco,Wine,2596
Caesar Salad,Side,2607
Filet Mignon,Meat,2607
Meiomi Pinot Noir,Wine,2607
Caesar Salad,Side,2608
Pork Tenderloin,Meat,2608
Cantina Pinot Bianco,Wine,2608
Caesar Salad,Side,2632
Pork Tenderloin,Meat,2632
Cantina Pinot Bianco,Wine,2632
Caesar Salad,Side,2634
Pork Tenderloin,Meat,2634
Cantina Pinot Bianco,Wine,2634
Caesar Salad,Side,2639
Pork Tenderloin,Meat,2639
Cantina Pinot Bianco,Wine,2639
Caesar Salad,Side,2639
Pork Tenderloin,Meat,2639
Cantina Pinot Bianco,Wine,2639
Caesar Salad,Side,2641
Pork Tenderloin,Meat,2641
Cantina Pinot Bianco,Wine,2641
Roasted Root Veg,Side,2644
Roast Chicken,Meat,2644
Duckhorn Chardonnay,Wine,2644
Roasted Root Veg,Side,2645
Duck,Meat,2645
Duckhorn Chardonnay,Wine,2645
Roasted Root Veg,Side,2652
Filet Mignon,Meat,2652
Blackstone Merlot,Wine,2652
Roasted Root Veg,Side,2685
Duck,Meat,2685
Meiomi Pinot Noir,Wine,2685
Roasted Root Veg,Side,2699
Duck,Meat,2699
Blackstone Merlot,Wine,2699
Roasted Root Veg,Side,2706
Pork Tenderloin,Meat,2706
Cantina Pinot Bianco,Wine,2706
Roasted Root Veg,Side,2709
Filet Mignon,Meat,2709
Blackstone Merlot,Wine,2709
Roasted Root Veg,Side,2750
Duck,Meat,2750
Duckhorn Chardonnay,Wine,2750
Roasted Root Veg,Side,2753
Pork Tenderloin,Meat,2753
Duckhorn Chardonnay,Wine,2753
Roasted Root Veg,Side,2762
Pork Tenderloin,Meat,2762
Cantina Pinot Bianco,Wine,2762
Roasted Root Veg,Side,2767
Pork Tenderloin,Meat,2767
Cantina Pinot Bianco,Wine,2767
Roasted Root Veg,Side,2787
Pork Tenderloin,Meat,2787
Cantina Pinot Bianco,Wine,2787
Roasted Root Veg,Side,2797
Pork Tenderloin,Meat,2797
Blackstone Merlot,Wine,2797
Roasted Root Veg,Side,2804
Pork Tenderloin,Meat,2804
Duckhorn Chardonnay,Wine,2804
Roasted Root Veg,Side,2807
Duck,Meat,2807
Duckhorn Chardonnay,Wine,2807
Roasted Root Veg,Side,2835
Pork Tenderloin,Meat,2835
Cantina Pinot Bianco,Wine,2835
Baked Beans,Side,2848
Duck,Meat,2848
Duckhorn Chardonnay,Wine,2848
Baked Beans,Side,2877
Pork Tenderloin,Meat,2877
Cantina Pinot Bianco,Wine,2877
Baked Beans,Side,2880
Roast Chicken,Meat,2880
Duckhorn Chardonnay,Wine,2880
Baked Beans,Side,2895
Filet Mignon,Meat,2895
Duckhorn Chardonnay,Wine,2895
Baked Beans,Side,2907
Roast Chicken,Meat,2907
Cantina Pinot Bianco,Wine,2907
Baked Beans,Side,2917
Roast Chicken,Meat,2917
Meiomi Pinot Noir,Wine,2917
Baked Beans,Side,2939
Pork Tenderloin,Meat,2939
Cantina Pinot Bianco,Wine,2939
Baked Beans,Side,2939
Pork Tenderloin,Meat,2939
Cantina Pinot Bianco,Wine,2939
Risotto,Side,2947
Roast Chicken,Meat,2947
Duckhorn Chardonnay,Wine,2947
Risotto,Side,2966
Filet Mignon,Meat,2966
Blackstone Merlot,Wine,2966
Risotto,Side,2976
Duck,Meat,2976
Duckhorn Chardonnay,Wine,2976
Risotto,Side,2992
Pork Tenderloin,Meat,2992
Cantina Pinot Bianco,Wine,2992
Risotto,Side,2992
Pork Tenderloin,Meat,2992
Cantina Pinot Bianco,Wine,2992
Risotto,Side,3010
Pork Tenderloin,Meat,3010
Cantina Pinot Bianco,Wine,3010
Risotto,Side,3027
Pork Tenderloin,Meat,3027
Cantina Pinot Bianco,Wine,3027
Risotto,Side,3030
Roast Chicken,Meat,3030
Duckhorn Chardonnay,Wine,3030
Risotto,Side,3031
Duck,Meat,3031
Duckhorn Chardonnay,Wine,3031
Risotto,Side,3035
Duck,Meat,3035
Meiomi Pinot Noir,Wine,3035
Risotto,Side,3036
Filet Mignon,Meat,3036
Meiomi Pinot Noir,Wine,3036
Steamed Seasonal Veg,Side,3070
Pork Tenderloin,Meat,3070
Blackstone Merlot,Wine,3070
Steamed Seasonal Veg,Side,3071
Pork Tenderloin,Meat,3071
Cantina Pinot Bianco,Wine,3071
Steamed Seasonal Veg,Side,3079
Pork Tenderloin,Meat,3079
Cantina Pinot Bianco,Wine,3079
Steamed Seasonal Veg,Side,3086
Pork Tenderloin,Meat,3086
Cantina Pinot Bianco,Wine,3086
Steamed Seasonal Veg,Side,3140
Roast Chicken,Meat,3140
Duckhorn Chardonnay,Wine,3140
Steamed Seasonal Veg,Side,3157
Pork Tenderloin,Meat,3157
Duckhorn Chardonnay,Wine,3157
Steamed Seasonal Veg,Side,3172
Pork Tenderloin,Meat,3172
Cantina Pinot Bianco,Wine,3172
Steamed Seasonal Veg,Side,3191
Pork Tenderloin,Meat,3191
Cantina Pinot Bianco,Wine,3191
Steamed Seasonal Veg,Side,3199
Duck,Meat,3199
Cantina Pinot Bianco,Wine,3199
Steamed Seasonal Veg,Side,3202
Pork Tenderloin,Meat,3202
Cantina Pinot Bianco,Wine,3202
Steamed Seasonal Veg,Side,3203
Roast Chicken,Meat,3203
Duckhorn Chardonnay,Wine,3203
Steamed Seasonal Veg,Side,3225
Filet Mignon,Meat,3225
Blackstone Merlot,Wine,3225
Steamed Seasonal Veg,Side,3226
